audience_upload_id,crm_list_name,data_source_category_id,advertiser_id,create_time,crm_households,deprecated,entry_count,household_Count,percentage_match
3387,IT-Sec Finance (June 2023),2186452.0,33491,2023-06-22 20:55:33.630,0,False,20508,6144.0,333.7890625
3388,All Customers T3 - WK38,2186492.0,31805,2023-06-22 23:20:15.332,0,False,1277642,2821734.0,45.27861237097473
3389,All Subscribers_06222023,2187182.0,33012,2023-06-26 13:21:20.527,0,False,698473,1570406.0,44.477224361088794
3390,All Unsubscribers_06222023,2187185.0,33012,2023-06-26 13:22:19.308,0,False,221887,559513.0,39.6571661426991
3391,June 2023 Customer List from Salesforce,2187188.0,33101,2023-06-26 14:03:16.248,0,False,65535,126976.0,51.612115675403224
3392,June 2023 Top Spenders,2187191.0,33101,2023-06-26 14:04:23.383,0,False,11304,18432.0,61.328125
3393,REEDS 24 mo last purchasers emails 06 26 23,2187194.0,31901,2023-06-26 14:05:35.875,0,False,282782,564428.0,50.10063285308313
3394,Denago B2B dealers,2187199.0,35039,2023-06-26 18:16:34.628,0,False,192,819.0,23.44322344322344
3395,Denago.com eBike dealers both B2C and B2B,2187202.0,35039,2023-06-26 18:17:28.672,0,False,272,1638.0,16.605616605616603
3396,Denago.com all email subscribers both B2C and B2B,2187205.0,35039,2023-06-26 18:17:55.715,0,False,1760,5734.0,30.694105336588766
3397,VVS Last 12M Buyers 20230626,2187209.0,32857,2023-06-26 18:18:00.574,0,False,365891,751616.0,48.680576251702995
3398,Denago.com repeat customers who purchased more than once B2C and B2B,2187211.0,35039,2023-06-26 18:18:15.643,0,False,191,1638.0,11.66056166056166
3399,YTD 2023 Purchasers,2187214.0,33417,2023-06-26 18:43:36.837,0,False,92038,201932.0,45.57870966463958
3400,Email Subscriber List - 06.26.2023 - Battle Born Batteries - All,2187246.0,34781,2023-06-26 23:21:23.062,0,False,27725,56524.0,49.04996107847994
3401,crm regression june 26,2187249.0,34678,2023-06-27 00:33:05.495,0,False,319680,752844.0,42.462980378405085
3402,june 26 regression,2187252.0,34447,2023-06-27 01:53:25.625,0,False,319680,751206.0,42.55557064240701
3403,Test file ,2187260.0,32899,2023-06-27 19:51:07.623,0,True,328169,792166.0,41.426796908728726
3404,All Customers T3 - WK39,2187263.0,31805,2023-06-27 22:52:07.990,0,False,1304193,2803302.0,46.523456980375286
3405,Onboarding WK39,2187266.0,31805,2023-06-27 23:06:19.462,0,False,115584,267059.0,43.28032382357457
3406,Bdays and Bday Parties April May June,2187269.0,32101,2023-06-27 23:08:21.200,0,False,69519,172851.0,40.21903257719076
3407,OLP Leads 06.28.23,2187379.0,33702,2023-06-28 14:42:40.726,0,False,411,,
3408,June2023,2194712.0,32899,2023-06-28 16:56:12.102,0,False,328169,799948.0,41.02379154645052
3409,Active BS Subscribers - Non Purchasers,2194728.0,34467,2023-06-28 18:46:16.707,0,False,80956,169574.0,47.74080932218382
3410,MFT Audience with Seed List,2194736.0,33491,2023-06-28 20:13:26.818,0,False,5127,1638.0,313.003663003663
3411,Klaviyo Active L60 Day - 6.16.23,2194741.0,33827,2023-06-29 14:39:21.244,0,False,46094,110182.0,41.83441941514948
3412,XPO_Non_Members_CRM,2194763.0,34440,2023-06-29 18:11:07.431,0,False,8125140,10157260.0,79.99342342324603
